"cohort","labanimalid","rfid","sex","box","sha_mean_delta_esc_08_10","sha_mean_08_10","sha_mean_inactive_08_10","sha_mean_to_08_10","sha_loading_phase_intake_08_10","sha_titration_phase_08_10","sha_iti_median_08_10","sha_mean_iti","sha_behavior_stability_08_10","sha_behavior_stability_08_10_na","sha_mean_01_03","sha_mean_inactive_01_03","sha_mean_to_01_03","sha_loading_phase_intake_01_03","sha_titration_phase_01_03","sha_iti_median_01_03","sha_mean_iti_2","sha_behavior_stability_01_03","sha_sd_iti_na_2","sha_rewards_first1hr_2","lga_mean_delta_esc_12_14","lga_mean_12_14","lga_mean_inactive_12_14","lga_mean_to_12_14","lga_loading_phase_intake_12_14","lga_titration_phase_12_14","lga_iti_median_12_14","lga_mean_iti","lga_behavior_stability_12_14","lga_behavior_stability_12_14_na","shock_03","shock_03_pre","shock_03_avg1h","irr_age","irr_agg_change","irr_def_change","irr_total_change","pr_01_sha","pr_02_lga","pr_03_postshock","pr_01_sha_breakpoint","pr_02_lga_breakpoint","pr_03_postshock_breakpoint","pr_max_02_03","pr_max_02_03_breakpoint","weight_surgery","sha_01_age","sha_08_age","lga_12_age","shock_03_age","pr_01_age","pr_02_age","pr_03_age","sha_coefficient_of_variation","sha_coefficient_of_variation_2","lga_coefficient_of_variation","addiction_index_no_sex_z","add_index_sexcohort_z","add_ind_calc_no_z_shock_03","addiction_index_no_sex_z_shock_03_avg1h","add_index_palmer_shock_03_avg1h","add_ind_calc_no_z_shock_03_avg1h","add_ind_olivier","room"
"C01","F1","933000120124701","F","1.0",0.2122505587976533,17.666666666666668,2.0,15.5,0.0,24.0,152.0,NULL,708.4961883375865,708.4961883375865,1.3333333333333333,1.0,0.666666666666667,0.0,2.0,NULL,NULL,0.0,NULL,NULL,0.4654857332179965,143.0,0.6666666666666666,4.333333333333333,25.0,66.0,148.5,NULL,72.70054606884578,72.70054606884578,26.0,nan,-0.10344827586206896,nan,nan,nan,nan,10.0,13.0,11.0,40.0,77.0,50.0,13.0,77.0,177.0,78.0,87.0,108.0,122.0,92.0,114.0,117.0,2.421933187115724,0.0,0.4818275996908428,1.1090354989805464,0.8739126645382465,1.6236399128679482,-0.16299860963144308,-0.16299860963144308,-0.060136498161697326,0.6757522345576595,"NaN"
"C02","F103","933000120138286","F","6.0",-0.908162885225595,1.6666666666666667,1.6666666666666667,1.0,1.0,0.33333333333333304,600.0,NULL,173.205080756888,86.6025403784439,0.3333333333333333,2.0,0.33333333333333304,nan,nan,NULL,NULL,nan,NULL,NULL,-0.9464583234289926,85.66666666666667,1.3333333333333333,291.66666666666697,0.33333333333333304,24.6666666666667,140.0,NULL,182.393741707495,182.393741707495,nan,nan,nan,50.0,-2.333333333333333,-2.0,-4.333333333333334,0.0,0.0,11.0,1.0,1.0,50.0,11.0,50.0,155.0,51.0,60.0,81.0,99.0,65.0,87.0,94.0,0.31491832864888697,nan,0.8392386327125971,-0.5366256616409031,-0.9003696227123958,-0.253837962500674,nan,nan,nan,-0.905675916181861,"NaN"
"C03","F307","933000120138579","F","7.0",-0.0105380689334926,14.333333333333336,2.6666666666666665,7.0,6.0,19.0,495.5,NULL,154.1867293251919,154.1867293251919,7.333333333333332,25.66666666666667,1.6666666666666667,3.0,12.0,NULL,NULL,622.3709602707743,NULL,NULL,-0.6663368001608512,83.33333333333333,9.0,32.333333333333336,8.0,19.0,59.0,NULL,440.1563673221991,440.1563673221991,6.0,-0.3333333333333333,-0.7391304347826086,77.0,-2.333333333333333,10.666666666666666,8.333333333333332,15.0,16.0,13.0,118.0,145.0,77.0,16.0,145.0,140.0,80.0,89.0,111.0,125.0,95.0,117.0,122.0,0.3025939148762475,0.6873829125818002,1.7335069635911595,0.1876913334204692,-0.11081413179218937,-0.253837962500674,-0.8202879309542652,-0.8202879309542652,-0.2408566405093948,-0.4397898281765297,"NaN"
"C04","F410","933000120138674","F","10.0",-0.8957540215150867,0.6666666666666666,3.333333333333333,0.0,0.0,1.0,3516.0,NULL,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.0,2.0,NULL,NULL,0.0,NULL,NULL,-1.9887724994616225,9.333333333333334,27.0,0.6666666666666666,0.0,12.0,383.0,NULL,2125.651370850827,2125.651370850827,13.0,-0.2352941176470588,nan,56.0,4.333333333333334,6.333333333333332,10.666666666666668,1.0,2.0,16.0,2.0,4.0,145.0,16.0,145.0,150.0,59.0,68.0,89.0,104.0,73.0,95.0,98.0,0.0,0.0,2.154434617338469,-0.146594247396204,-0.5250342634632502,0.3719879959555334,nan,-1.49152854974452,nan,-0.3132123933913898,"NaN"
"C05","F512","933000120138607","F","12.0",0.4743653070471612,20.666666666666668,0.6666666666666666,2.333333333333333,6.0,32.0,303.0,NULL,162.37566431923858,162.37566431923858,5.666666666666668,3.6666666666666665,3.333333333333333,3.0,9.0,NULL,NULL,871.3955731457208,NULL,NULL,-1.289272712483831,26.33333333333333,184.33333333333331,1.3333333333333333,3.0,21.0,320.5,NULL,1132.9729219154485,1132.9729219154485,6.0,-0.7692307692307693,2.6,77.0,1.5,1.0,2.5,9.0,0.0,2.0,32.0,0.0,4.0,2.0,4.0,172.0,80.0,89.0,110.0,125.0,94.0,117.0,122.0,0.4813185387276465,0.8666906808780968,1.5200978385660533,-0.8187122402305406,-1.3016560930660732,-0.253837962500674,3.2618219187514503,2.5789900406521116,0.708435578917001,-1.3162455508145514,"MED1110"
"C05","M580","933000120138437","M","14.0",-0.5198921816904628,0.6666666666666666,1.3333333333333333,0.0,0.33333333333333304,0.33333333333333304,600.0,NULL,nan,0.0,2.0,4.0,0.0,nan,nan,NULL,NULL,nan,NULL,NULL,0.5114358485158723,83.0,11.0,9.0,4.0,14.0,266.66666666666697,NULL,140.878714307935,140.878714307935,2.0,-0.8461538461538461,-0.86046511627907,66.0,-2.0,0.0,-2.0,2.0,10.0,11.0,4.0,40.0,50.0,11.0,50.0,170.0,69.0,78.0,99.0,114.0,83.0,106.0,111.0,nan,nan,0.461021686694538,-0.08169228988265309,0.08976376114083755,-0.8796639209568814,nan,0.9660528513665452,nan,0.29147027453142743,"MED1110"
"C07","M769","933000320046379","M","1.0",0.1698974707556825,13.0,6.0,7.333333333333332,7.0,13.0,453.0,NULL,457.2085077935072,457.2085077935072,8.333333333333334,8.333333333333334,6.666666666666668,1.0,11.0,NULL,NULL,738.6045657491259,NULL,NULL,-0.21947322150161092,68.33333333333333,1.3333333333333333,9.666666666666666,10.0,24.0,239.0,NULL,192.57199155395284,192.57199155395284,8.0,-0.6521739130434783,-0.17241379310344826,64.0,6.0,-8.0,-2.0,3.0,9.0,12.0,6.0,32.0,62.0,12.0,62.0,219.0,67.0,76.0,98.0,105.0,81.0,103.0,110.0,0.8828786290063969,1.1389430466447583,0.6781652764738763,0.029895913398593026,-0.0021946302964417443,-0.1495336360913061,0.4572090447760585,0.15057728267213472,-0.07974292869941922,-0.12293491478846008,"MED1114"
"C08","M857","933000320046920","M","5.0",-0.9653511913844752,1.3333333333333333,0.3333333333333333,0.0,1.0,1.0,1953.0,NULL,1353.2969617444155,1353.2969617444155,0.0,1.6666666666666667,0.0,0.0,0.0,NULL,NULL,nan,NULL,NULL,-1.5731941377568308,2.6666666666666665,3.0,0.0,2.0,4.0,80.0,NULL,9290.737116074268,7554.215921424275,nan,nan,nan,61.0,1.3333333333333337,2.0,3.333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,245.0,68.0,77.0,100.0,107.0,84.0,105.0,111.0,0.7611343991813362,nan,1.2211478557443638,-1.3674721974896429,-1.2403386578442963,-0.9839682473662492,nan,nan,nan,-1.0822715605442077,"BSB273D"
"C09","F927","933000320047335","F","11.0",0.8476663209523523,29.0,5.666666666666668,19.666666666666668,5.0,46.0,163.0,NULL,226.04447763072415,226.04447763072415,1.0,1.3333333333333333,0.0,0.0,1.0,NULL,NULL,1996.5,NULL,NULL,0.796282377702001,129.66666666666666,1.0,4.666666666666667,25.0,48.0,141.0,NULL,227.22847324767918,227.22847324767918,26.0,-0.037037037037037035,-0.1875,62.0,-2.333333333333333,-1.0,-3.333333333333333,9.0,9.0,9.0,32.0,32.0,32.0,9.0,32.0,163.0,69.0,78.0,99.0,106.0,83.0,104.0,108.0,0.9206175088960402,0.9900818249442104,1.4581910336426294,1.1562627594196109,0.9135966765867409,1.832248565686684,0.0660857160523983,-0.24633030868229916,-0.0840318353795459,0.7793361884439617,"BSB273C"
"C10","F1012","933000320047936","F","12.0",0.247499617363672,29.0,6.333333333333332,5.0,16.0,36.0,246.0,NULL,111.14667422649215,111.14667422649215,26.33333333333333,34.333333333333336,11.666666666666664,8.0,34.0,NULL,NULL,225.7476724126364,NULL,NULL,0.7319805668264745,115.33333333333331,7.0,2.333333333333333,26.0,55.0,186.0,NULL,66.64386509515745,66.64386509515745,1.0,-0.9902912621359224,-0.9610389610389609,76.0,8.666666666666666,1.3333333333333333,10.0,9.0,11.0,12.0,32.0,50.0,62.0,12.0,62.0,177.0,81.0,96.0,118.0,126.0,99.0,124.0,130.0,0.4511825561796425,0.8148574259491982,0.3547417009782893,0.032135550488002915,-0.09848280301905377,-0.9839682473662492,-0.6996317747469869,-0.6941767294483082,-0.3039437350431093,-0.3739479371793022,"BSB273B"
